word	true_class	pred_class
##res	B-LOCAL	B-ORGANIZACAO
Um	B-ABSTRACCAO	B-OBRA
Mil	I-ABSTRACCAO	I-OBRA
##hão	I-ABSTRACCAO	I-OBRA
de	I-ABSTRACCAO	I-OBRA
Nave	I-ABSTRACCAO	I-OBRA
##gadores	I-ABSTRACCAO	I-OBRA
Sag	B-LOCAL	B-ORGANIZACAO
##res	B-LOCAL	B-ORGANIZACAO
Ter	B-ABSTRACCAO	B-OBRA
##r	B-ABSTRACCAO	B-OBRA
##à	B-ABSTRACCAO	B-OBRA
##vista	B-ABSTRACCAO	B-OBRA
Sag	B-LOCAL	B-ORGANIZACAO
##res	B-LOCAL	B-ORGANIZACAO
Pad	I-OBRA	I-ABSTRACCAO
##rões	I-OBRA	I-ABSTRACCAO
Rece	I-OBRA	I-ABSTRACCAO
##ntes	I-OBRA	I-ABSTRACCAO
da	I-OBRA	I-ABSTRACCAO
Fe	I-OBRA	I-ABSTRACCAO
##cund	I-OBRA	I-ABSTRACCAO
##idade	I-OBRA	I-ABSTRACCAO
em	I-OBRA	I-ABSTRACCAO
Portugal	I-OBRA	I-ABSTRACCAO
Dr	I-PESSOA	B-PESSOA
.	I-PESSOA	B-PESSOA
Mic	B-OBRA	O
##ro	B-OBRA	O
##inf	B-OBRA	O
##il	B-OBRA	O
##tração	B-OBRA	O
marginal	I-OBRA	O
em	I-OBRA	O
ca	I-OBRA	O
##vidade	I-OBRA	O
##s	I-OBRA	O
de	I-OBRA	O
classe	I-OBRA	O
V	I-OBRA	O
prepara	I-OBRA	O
##das	I-OBRA	O
com	I-OBRA	O
alta	I-OBRA	O
rotação	I-OBRA	O
e	I-OBRA	O
com	I-OBRA	O
laser	I-OBRA	O
de	I-OBRA	O
Er	I-OBRA	B-COISA
:	I-OBRA	O
Y	I-OBRA	B-COISA
##A	I-OBRA	B-COISA
##G	I-OBRA	B-COISA
-	I-OBRA	O
Estu	I-OBRA	O
##do	I-OBRA	I-ACONTECIMENTO
in	I-OBRA	I-ACONTECIMENTO
vit	I-OBRA	I-ACONTECIMENTO
##ro	I-OBRA	O
V	B-COISA	O
Er	O	B-COISA
Y	O	B-COISA
##A	O	B-COISA
##G	O	B-COISA
Er	O	B-COISA
:	O	B-COISA
Y	O	B-COISA
##A	O	I-COISA
##G	O	I-COISA
Classe	B-COISA	B-LOCAL
Er	O	B-COISA
Y	O	B-COISA
##A	O	B-COISA
##G	O	B-COISA
Er	O	B-COISA
Y	O	B-COISA
##A	O	B-COISA
##G	O	B-COISA
Er	O	B-COISA
Y	O	B-COISA
##A	O	B-COISA
##G	O	I-COISA
bon	I-COISA	O
##d	I-COISA	O
3	B-COISA	O
##M	B-COISA	O
X	O	I-COISA
testes	B-COISA	O
estat	I-COISA	O
##ísticos	I-COISA	O
de	I-COISA	O
Kru	I-COISA	B-COISA
##sk	I-COISA	B-COISA
##al	I-COISA	B-COISA
-	I-COISA	B-COISA
Whit	B-COISA	I-COISA
##he	B-COISA	I-COISA
##y	B-COISA	I-COISA
Er	O	B-COISA
Y	O	I-COISA
##A	O	I-COISA
##G	O	I-COISA
1	O	B-VALOR
2	O	B-VALOR
Er	O	B-COISA
:	O	B-COISA
Y	O	I-COISA
##A	O	I-COISA
##G	O	I-COISA
3	O	B-VALOR
Exped	B-ABSTRACCAO	O
##ição	B-ABSTRACCAO	O
Monte	I-ABSTRACCAO	B-LOCAL
Roraima	I-ABSTRACCAO	I-LOCAL
Diário	O	B-LOCAL
Ro	I-COISA	B-COISA
##ver	I-COISA	B-COISA
At	B-LOCAL	I-LOCAL
##ro	B-LOCAL	I-LOCAL
##ari	B-LOCAL	I-LOCAL
Equador	B-ABSTRACCAO	B-LOCAL
Lua	B-COISA	B-PESSOA
Secretário	B-PESSOA	I-PESSOA
##az	B-COISA	B-ORGANIZACAO
.	I-ORGANIZACAO	O
P	O	B-COISA
##neu	O	B-COISA
##s	O	B-COISA
-	B-ORGANIZACAO	I-ORGANIZACAO
Ma	B-ORGANIZACAO	I-ORGANIZACAO
de	I-VALOR	B-VALOR
33	I-VALOR	B-VALOR
.	I-VALOR	B-VALOR
000	I-VALOR	B-VALOR
pneus	O	I-VALOR
33	I-VALOR	B-VALOR
.	I-VALOR	B-VALOR
000	I-VALOR	B-VALOR
pneus	I-VALOR	O
/	I-VALOR	O
dia	I-VALOR	O
44	I-VALOR	B-VALOR
.	I-VALOR	B-VALOR
000	I-VALOR	B-VALOR
pneus	O	I-VALOR
44	I-VALOR	B-VALOR
.	I-VALOR	B-VALOR
000	I-VALOR	B-VALOR
/	I-VALOR	O
dia	I-VALOR	O
Comp	B-COISA	B-ORGANIZACAO
##ou	B-COISA	B-ORGANIZACAO
##nd	B-COISA	B-ORGANIZACAO
Sistema	B-ABSTRACCAO	B-OBRA
de	I-ABSTRACCAO	I-OBRA
B	B-LOCAL	B-ORGANIZACAO
##PI	B-LOCAL	B-ORGANIZACAO
Net	I-LOCAL	I-ORGANIZACAO
B	I-LOCAL	B-ORGANIZACAO
##PI	I-LOCAL	B-ORGANIZACAO
Internet	I-LOCAL	B-LOCAL
80	O	B-LOCAL
B	B-PESSOA	B-ORGANIZACAO
##PI	B-PESSOA	B-ORGANIZACAO
Net	I-PESSOA	I-ORGANIZACAO
VI	B-VALOR	O
Al	B-LOCAL	B-ORGANIZACAO
##ju	B-LOCAL	B-ORGANIZACAO
##be	B-LOCAL	B-ORGANIZACAO
da	I-PESSOA	O
Filho	I-PESSOA	I-ABSTRACCAO
Cons	O	B-LOCAL
##ola	O	B-LOCAL
##dora	O	B-LOCAL
